,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
LOC100578409,LOC100578409,Gene Expression,A_mel_mkref_out,False,407,0.02012995286023697,0.019930023945820132,98.2715420223383,474.0,6.163314804034641,373
LOC100578041,LOC100578041,Gene Expression,A_mel_mkref_out,False,78,0.003354992143372829,0.0033493767135418548,99.66874761116065,79.0,4.382026634673881,76
LOC113218871,LOC113218871,Gene Expression,A_mel_mkref_out,False,129,0.008918333545674608,0.00887880008359879,99.4521595107657,210.0,5.351858133476067,122
LOC552363,LOC552363,Gene Expression,A_mel_mkref_out,False,3061,0.18745487747908438,0.17181225829237026,87.00046715080477,4414.0,8.392763113038061,2969
LOC551700,LOC551700,Gene Expression,A_mel_mkref_out,False,4103,0.3109950312141674,0.27078641470128156,82.57527498195098,7323.0,8.898911905794401,4010
LOC100578602,LOC100578602,Gene Expression,A_mel_mkref_out,False,5840,0.6002887841338599,0.4701841030430225,75.19853909202871,14135.0,9.556480013999533,5669
LOC724311,LOC724311,Gene Expression,A_mel_mkref_out,False,10101,1.0781840574170807,0.7314944630649964,57.10281564530513,25388.0,10.142071288338215,9622
LOC102654551,LOC102654551,Gene Expression,A_mel_mkref_out,False,158,0.006879857306663269,0.006856299078161628,99.32900157132543,162.0,5.093750200806762,154
LOC113218834,LOC113218834,Gene Expression,A_mel_mkref_out,False,71,0.003142650868475814,0.003137723062784535,99.69847538964623,74.0,4.31748811353631,67
LOC411175,LOC411175,Gene Expression,A_mel_mkref_out,False,7855,0.645305134412027,0.4979258590595986,66.64118571367904,15195.0,9.628787514307517,7483
LOC107964584,LOC107964584,Gene Expression,A_mel_mkref_out,False,75,0.003779674693166858,0.0037725496706418277,99.68148808765449,89.0,4.499809670330265,72
LOC409946,LOC409946,Gene Expression,A_mel_mkref_out,False,5422,0.6286575784601011,0.48775610400047886,76.97371215016776,14803.0,9.602652693506046,5275
LOC551660,LOC551660,Gene Expression,A_mel_mkref_out,False,5026,0.5571410370747866,0.4428514713280471,78.6554550473521,13119.0,9.48189306249808,4702
LOC551817,LOC551817,Gene Expression,A_mel_mkref_out,False,3101,0.22796959272943476,0.20536206779739527,86.83059413088716,5368.0,8.58839695042257,3055
LOC411177,LOC411177,Gene Expression,A_mel_mkref_out,False,8473,1.0134624368284708,0.6998558454752937,64.01664755595193,23864.0,10.080168229439996,7890
LOC725479,LOC725479,Gene Expression,A_mel_mkref_out,False,415,0.022550643394062937,0.02230013670004834,98.23756741835477,531.0,6.2766434893416445,371
LOC107964597,LOC107964597,Gene Expression,A_mel_mkref_out,False,63,0.0027604365736611882,0.0027566335656565993,99.73244999362976,65.0,4.189654742026425,56
LOC102655200,LOC102655200,Gene Expression,A_mel_mkref_out,False,2245,0.1114791693209326,0.10569171319470598,90.46587675712405,2625.0,7.873217054862741,2150
LOC113218856,LOC113218856,Gene Expression,A_mel_mkref_out,False,521,0.02463158788805368,0.02433312153052348,97.78740391557311,580.0,6.364750756851911,493
LOC412021,LOC412021,Gene Expression,A_mel_mkref_out,False,81,0.003694738183208052,0.0036879294040374935,99.65600713466684,87.0,4.477336814478207,78
LOC724391,LOC724391,Gene Expression,A_mel_mkref_out,False,228,0.01201851615917102,0.011946867297864422,99.03172378646961,283.0,5.648974238161206,206
LOC409296,LOC409296,Gene Expression,A_mel_mkref_out,False,4834,0.4151696606786427,0.34724942544726267,79.47084554295664,9776.0,9.18778796750567,4707
LOC107964672,LOC107964672,Gene Expression,A_mel_mkref_out,False,217,0.009895103410200876,0.00984646744984944,99.07843886694695,233.0,5.455321115357702,210
LOC107964601,LOC107964601,Gene Expression,A_mel_mkref_out,False,39,0.001656261944196713,0.0016548918549919383,99.83437380558033,39.0,3.6888794541139363,36
LOC102654110,LOC102654110,Gene Expression,A_mel_mkref_out,False,32,0.00161379368921731,0.0016124929234386616,99.8641015840659,38.0,3.6635616461296463,29
LOC550969,LOC550969,Gene Expression,A_mel_mkref_out,False,4116,0.2694610778443114,0.23859246225525735,82.52006625047777,6345.0,8.75557997214314,4016
LOC724435,LOC724435,Gene Expression,A_mel_mkref_out,False,2169,0.1189535821973075,0.11239394696566017,90.78863549496752,2801.0,7.938088726896952,2099
LOC107964633,LOC107964633,Gene Expression,A_mel_mkref_out,False,945,0.04701235826219901,0.04594073531654137,95.98674990444643,1107.0,7.010311867307229,888
LOC102656936,LOC102656936,Gene Expression,A_mel_mkref_out,False,447,0.024079500573321443,0.023794160882332726,98.10166900242069,567.0,6.342121418721152,403
LOC102656842,LOC102656842,Gene Expression,A_mel_mkref_out,False,357,0.0161379368921731,0.01600910459875376,98.48388329723532,380.0,5.942799375126701,319
LOC100579061,LOC100579061,Gene Expression,A_mel_mkref_out,False,5578,0.46320125706034737,0.3806266772113911,76.31120737248906,10907.0,9.297251743965479,5418
