"","deviance"
"LOC100578571",2898.61219716004
"LOC725040",55553.3497998894
"LOC550996",68759.153854752
"LOC725817",30662.8852511011
"LOC409911",117927.084327326
"LOC113218939",7861.03737603275
"LOC552065",39987.7589630307
"LOC410779",341635.824903899
"LOC412114",48035.3313190549
"LOC409689",46338.4022286953
"LOC725279",42120.9234230338
"LOC410736",7282.95532173699
"LOC409109",374596.844498176
"LOC726368",42025.4680226972
"LOC100578657",54333.1509734101
"LOC413425",62483.4662436091
"LOC102655652",11803.4610107809
"LOC408574",60982.0984042427
"LOC724326",29390.3777545838
"LOC113218530",5840.68415589167
"LOC413674",45422.628707528
"LOC100578653",50906.4023004916
"LOC409926",62795.8456781544
"LOC113219272",33052.9325887016
"LOC100576126",613.616851267665
"LOC100576505",5799.39172375567
"Rfwd3",173853.935416473
"LOC102656611",9276.23887702348
"LOC410009",21516.4872734487
"LOC102656644",1767.47032134851
"LOC102653658",56909.1006637365
"LOC551205",62481.689501819
"LOC100577822",12712.1263336136
"LOC412287",83449.1782754411
"LOC409417",81603.8459432856
"LOC409074",84216.1904085865
"LOC100576132",74374.8097788301
"LOC410686",238227.26728821
"LOC100576242",78520.8002122941
"LOC410756",1239158.83657466
"LOC100578472",44998.8401451666
"LOC411985",86075.3492125503
"LOC410718",266964.642309746
"LOC409079",41079.0246111124
"rtGEF",72796.0908066959
"LOC725348",55442.7657184364
"LOC726918",90846.4723313903
"LOC724796",2705.86064032576
"LOC113218850",95910.532821341
"LOC410662",571575.752544968
"LOC726223",46556.6818075765
"LOC100576446",18470.3677169853
"LOC725816",31751.8020113956
"LOC410685",101193.421284982
"LOC100576700",195746.287618335
"LOC552294",134236.640274386
"LOC409392",68494.0226850009
"LOC726590",333.555706335865
"LOC551558",170553.851191209
"LOC724618",766619.370437922
"LOC100576662",2287.35106687594
"LOC102656426",3029.35791138046
"LOC413907",8844.50339188508
"LOC551842",53561.1555588447
"LOC102654856",18780.5736244564
"LOC113219261",22729.5812011386
"LOC409261",44980.1990157934
"LOC408614",297362.173024624
"LOC725746",74174.5951364368
"LOC552366",3019.18594963738
"LOC107965508",46371.6895614801
"LOC552229",14739.3233920129
"LOC724193",13344.0874937026
"LOC412397",55309.9715600907
"Grd",182768.82121944
"LOC413470",107161.714599608
"LOC412141",49143.415355994
"Emc",144779.819886745
"LOC107965915",1030.0359269406
"LOC113219123",1263.84842681801
"otd2",53056.0348409833
"LOC107965347",5453.74578004502
"LOC100577648",62403.2200531506
"LOC725081",102165.947261958
"LOC113219140",2185.28886163663
"LOC551279",255824.757583247
