gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC107992735,LOC107992735,Gene Expression,A_cer_mkref_out,False,23021
LOC107992857,LOC107992857,Gene Expression,A_cer_mkref_out,False,11235
LOC114576858,LOC114576858,Gene Expression,A_cer_mkref_out,False,171
LOC107992741,LOC107992741,Gene Expression,A_cer_mkref_out,False,15702
LOC133667204,LOC133667204,Gene Expression,A_cer_mkref_out,False,4062
LOC114576846,LOC114576846,Gene Expression,A_cer_mkref_out,False,581
LOC114576848,LOC114576848,Gene Expression,A_cer_mkref_out,False,26
LOC107992746,LOC107992746,Gene Expression,A_cer_mkref_out,False,48
LOC107992743,LOC107992743,Gene Expression,A_cer_mkref_out,False,4973
LOC133667207,LOC133667207,Gene Expression,A_cer_mkref_out,False,37
LOC133667196,LOC133667196,Gene Expression,A_cer_mkref_out,False,226
LOC133667193,LOC133667193,Gene Expression,A_cer_mkref_out,False,477
LOC133667195,LOC133667195,Gene Expression,A_cer_mkref_out,False,898
LOC107992742,LOC107992742,Gene Expression,A_cer_mkref_out,False,95
LOC107992734,LOC107992734,Gene Expression,A_cer_mkref_out,False,5746
LOC107992773,LOC107992773,Gene Expression,A_cer_mkref_out,False,71
LOC107992775,LOC107992775,Gene Expression,A_cer_mkref_out,False,42
LOC107992774,LOC107992774,Gene Expression,A_cer_mkref_out,False,20617
LOC133667239,LOC133667239,Gene Expression,A_cer_mkref_out,False,13818
LOC107992828,LOC107992828,Gene Expression,A_cer_mkref_out,False,14954
LOC107992732,LOC107992732,Gene Expression,A_cer_mkref_out,False,546
LOC107992860,LOC107992860,Gene Expression,A_cer_mkref_out,False,9918
LOC107992859,LOC107992859,Gene Expression,A_cer_mkref_out,False,21260
LOC107992730,LOC107992730,Gene Expression,A_cer_mkref_out,False,21108
LOC107992856,LOC107992856,Gene Expression,A_cer_mkref_out,False,14756
LOC107992720,LOC107992720,Gene Expression,A_cer_mkref_out,False,23255
LOC107992781,LOC107992781,Gene Expression,A_cer_mkref_out,False,9560
LOC107992778,LOC107992778,Gene Expression,A_cer_mkref_out,False,9973
LOC107992780,LOC107992780,Gene Expression,A_cer_mkref_out,False,3528
LOC107992777,LOC107992777,Gene Expression,A_cer_mkref_out,False,4550
LOC107992779,LOC107992779,Gene Expression,A_cer_mkref_out,False,10126
LOC107992776,LOC107992776,Gene Expression,A_cer_mkref_out,False,6472
LOC107992706,LOC107992706,Gene Expression,A_cer_mkref_out,False,265
LOC133667248,LOC133667248,Gene Expression,A_cer_mkref_out,False,926
LOC107992874,LOC107992874,Gene Expression,A_cer_mkref_out,False,11689
LOC107992705,LOC107992705,Gene Expression,A_cer_mkref_out,False,14747
LOC107992832,LOC107992832,Gene Expression,A_cer_mkref_out,False,8107
LOC107992831,LOC107992831,Gene Expression,A_cer_mkref_out,False,6281
LOC107992847,LOC107992847,Gene Expression,A_cer_mkref_out,False,15277
LOC107992848,LOC107992848,Gene Expression,A_cer_mkref_out,False,8270
LOC107992846,LOC107992846,Gene Expression,A_cer_mkref_out,False,1298
LOC107992770,LOC107992770,Gene Expression,A_cer_mkref_out,False,21413
LOC107992771,LOC107992771,Gene Expression,A_cer_mkref_out,False,6562
LOC107992772,LOC107992772,Gene Expression,A_cer_mkref_out,False,8936
